,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Area
0,Budhanikantha,Kathmandu,90000000,6,3,2.00,10,West,16.00
1,Pasikot,Kathmandu,80000000,5,3,2.00,9,East,21.00
2,Dhapasi,Kathmandu,70000000,5,3,2.00,12,East,17.00
3,baluwatar,Kathmandu,130000000,6,4,3.00,9,West,10.25
4,Golfutar,Kathmandu,100000000,6,3,2.00,10,East,19.50
5,Banasthali,Kathmandu,100000000,5,6,3.00,9,East,12.81
6,Dadathok,Lalitpur,11000000,3,4,3.00,1,South East,49.25
7,Hepali,Kathmandu,50000000,5,4,2.00,9,East,9.25
8,baluwatar,Kathmandu,100000000,10,8,3.50,5,North,12.88
9,Nearby Nilo Pool,Kathmandu,32500000,6,4,2.50,1,South East,4.00
10,4,Pokhara,32000000,4,5,3.00,3,South West,14.00
11,Budhanilkantha,Kathmandu,39900000,5,4,3.00,1,North West,4.50
12,Budhanilkantha,Kathmandu,15000000,2,2,1.00,1,South,5.00
13,Budhanilkantha,Kathmandu,52500000,5,5,3.00,3,South East,8.00
14,Budhanilkantha,Kathmandu,26500000,6,6,3.00,1,East,4.00
15,Sitapaila,Kathmandu,25500000,6,6,3.00,1,East,4.00
16,Nearby CCRC College,Kathmandu,33000000,6,4,2.50,1,East,6.00
17,Daura Dipo,Kathmandu,18500000,4,4,0.00,3,South,6.00
18,khasibazaar,Kathmandu,62000000,7,4,0.00,3,East,10.00
19,Lonag height,Kathmandu,10500000,0,0,0.00,0,North,4.00
20,Sipadol,Bhaktapur,20500000,7,3,3.00,1,East,3.50
21,Radhe Radhe,Bhaktapur,22000000,0,0,0.00,0,East,3.50
22,Balaju,Kathmandu,145000000,95,40,5.00,7,East,21.00
23,Budhanilkantha,Kathmandu,55000000,5,6,3.00,4,South,19.00
24,Ramkot,Kathmandu,24000000,4,4,2.50,1,East,4.00
25,Dhapasi,Kathmandu,37000000,6,6,3.00,3,South East,6.10
26,Golfutar,Kathmandu,102500000,6,6,3.00,4,East,19.00
